fr_id,change_class,previous_title,current_title,previous_requirement,current_requirement,reason
FR-143,NEW_V1_1,,Evaluate rendered cut boundaries and whole-short coherence,,"The evaluator shall inspect the actual rendered output at each cut, overlay transition, caption change, and selected checkpoints for visual jumps, audio pops, subtitle occlusion, wrong frames, grade consistency, source meaning, pacing, and archetype coherence.","New source-first interview, batch, A-roll, derivative, revision, or Studio behavior."
FR-144,NEW_V1_1,,Apply bounded short-video repair and operator revision,,"Short-video failures or operator corrections shall compile into the smallest valid edit changes, preserve already-valid source selections and relationships, rerender only affected ranges or downstream outputs where possible, and stop after the configured repair limit or a human-owned boundary.","New source-first interview, batch, A-roll, derivative, revision, or Studio behavior."
FR-145,NEW_V1_1,,Produce source-grounded Carousel derivatives,,"A Carousel job shall derive slide claims, exact quotes, evidence, keyframes, visual references, and sequence roles from the accepted source package and approved archetype route, preserving source links for every slide while using Carousel-native swipe grammar.","New source-first interview, batch, A-roll, derivative, revision, or Studio behavior."
FR-146,NEW_V1_1,,Produce source-grounded SuperVisual derivatives,,"A SuperVisual job shall condense one source-backed premise, contradiction, identity statement, proof, or participation invitation into one feed-legible visual argument with exact source/evidence lineage and single-frame composition laws.","New source-first interview, batch, A-roll, derivative, revision, or Studio behavior."
FR-147,NEW_V1_1,,Produce source-grounded 2D animation derivatives without activating Format 02,,"An interview-derived 2D animation short may use source audio, approved voiceover derivatives, quotes, evidence, keyframes, identity references, and expression/gesture cues through a separately authorized animation Harness and runtime, but it shall not be labeled or implemented as Format 02 unless the Format 02 activation gate is later satisfied.","New source-first interview, batch, A-roll, derivative, revision, or Studio behavior."
FR-148,NEW_V1_1,,"Label quotations, condensations, voiceovers, and generated derivatives truthfully",,"Every derivative shall distinguish verbatim source quote, edited quote with disclosed omission, faithful condensation, operator-authored bridge, generated voiceover, synthetic voice, and source audio, preserving speaker attribution, approval, and transformation lineage.","New source-first interview, batch, A-roll, derivative, revision, or Studio behavior."
FR-149,NEW_V1_1,,"Preserve cross-derivative identity, meaning, and batch continuity",,"The batch shall evaluate whether shorts, Carousels, SuperVisuals, and animation derivatives remain coherent in identity, terminology, evidence, visual recurrence, and intended audience movement while allowing format-native variation.","New source-first interview, batch, A-roll, derivative, revision, or Studio behavior."
FR-150,NEW_V1_1,,Export complete derivative lineage and usage evidence,,"Every derivative output shall package source-package and span references, ingredient versions, Harness and binding identities, transformation records, generated-asset lineage, evaluations, human resolutions, publication scope, and downstream usage acknowledgements.","New source-first interview, batch, A-roll, derivative, revision, or Studio behavior."
FR-151,NEW_V1_1,,Compile natural-language operator revisions into typed change programs,,"A Revision Compiler Programmed Model or eligible general fallback shall translate an authorized operator request, current state, target objects, Harness, JIT context, allowed tool registry, and evaluation into the smallest typed ChangeRequestProgram or an explicit clarification/escalation.","New source-first interview, batch, A-roll, derivative, revision, or Studio behavior."
FR-152,NEW_V1_1,,Convert direct manipulation into the same typed command path,,"Dragging, trimming, splitting, resizing, cropping, reordering, selecting a candidate, or changing a parameter in the Studio shall produce the same canonical ChangeRequestProgram and validation path as an equivalent language request.","New source-first interview, batch, A-roll, derivative, revision, or Studio behavior."
FR-153,NEW_V1_1,,"Validate revision authority, scope, and minimality before execution",,"Every ChangeRequestProgram shall pass schema, current-state identity, authority, tool grant, Transformation Contract, source truth, geometry/timing, budget, and minimal-change validation before preview or execution.","New source-first interview, batch, A-roll, derivative, revision, or Studio behavior."
FR-154,NEW_V1_1,,Rerun only affected work and independently evaluate the result,,"An accepted revision shall invalidate only directly changed objects and dependent nodes, reuse unaffected checkpoints and assets, render an appropriate preview, run required deterministic and independent evaluations, and either commit, reject, or escalate.","New source-first interview, batch, A-roll, derivative, revision, or Studio behavior."
FR-155,NEW_V1_1,,Emit a HumanResolutionEpisode for every meaningful human decision,,"Every approval, rejection, candidate selection, revision, manual change, tool override, escalation resolution, taste explanation, and publication decision shall emit an immutable HumanResolutionEpisode linked to the exact before/after state, operations, evidence, authority, and applicability scope.","New source-first interview, batch, A-roll, derivative, revision, or Studio behavior."
FR-156,NEW_V1_1,,Use human-resolution evidence for governed retrieval and Programmed Model improvement,,"Eligible HumanResolutionEpisodes shall become immediately retrievable precedents and may later produce supervised examples, preference pairs, hard negatives, repair trajectories, Steering Recipe evidence, or model-training candidates through offline operator-authorized dataset, shadow, evaluation, and promotion gates.","New source-first interview, batch, A-roll, derivative, revision, or Studio behavior."
FR-157,NEW_V1_1,,Launch campaigns from source packages or Asset Package Specs,,"The Studio shall let an authorized operator select a workspace/project, inspect or complete a Canonical Interview Source Package, choose target outputs and Harnesses, set seed/taste direction, budget, deadline, autonomy mode, and launch a governed content batch.","New source-first interview, batch, A-roll, derivative, revision, or Studio behavior."
FR-158,NEW_V1_1,,Operate one shared Studio shell with category-native modules,,"The product shall provide one shared workspace, project, campaign, run, review, evidence, artifact, worker, provider, budget, and publishing shell while registering Interview Expression, Video Production, Static Composition, Visual Asset, and Knowledge/Programmed Model modules behind current product boundaries.","New source-first interview, batch, A-roll, derivative, revision, or Studio behavior."
FR-159,NEW_V1_1,,"Support AUTOPILOT, REVIEW_BEFORE_SHIP, CHECKPOINTED, and SHADOW modes",,"Campaign and Harness bindings shall declare one autonomy mode, allowed human gates, publication authority, exception policy, and mode changes, with mature Harnesses targeting AUTOPILOT or REVIEW_BEFORE_SHIP rather than continuous manual editing.","New source-first interview, batch, A-roll, derivative, revision, or Studio behavior."
FR-160,NEW_V1_1,,Provide exception-only review packages and attributable decisions,,"When human attention is required, the Studio shall present the exact issue, source and current state, candidates or alternatives, evaluator evidence, authority owner, costs and downstream effects, and permitted actions without forcing the operator to inspect raw logs or rebuild the work.","New source-first interview, batch, A-roll, derivative, revision, or Studio behavior."
FR-161,NEW_V1_1,,"Ship, export, or publish only under explicit authority and evidence",,"The Studio shall permit final acceptance, export, scheduling, or publication only when the derivative and campaign satisfy required technical, semantic, source authority, evaluation, lineage, and autonomy-mode gates, and shall record the human or policy authority responsible.","New source-first interview, batch, A-roll, derivative, revision, or Studio behavior."
FR-162,NEW_V1_1,,Route each Harness to the correct supervisory surfaces and live read models,,"Every Atomic Harness or derivative job shall declare its primary and supporting Studio surfaces, operator-entry policy, visible evidence, permitted commands, and realtime projections without allowing the Studio plugin to change Harness meaning or runtime ownership.","New source-first interview, batch, A-roll, derivative, revision, or Studio behavior."
FR-163,,,,,,"Restores doctrine, archetype, primitive, Voice/Visual DNA, and anti-centroid foundations as first-class product requirements."
FR-164,,,,,,"Restores doctrine, archetype, primitive, Voice/Visual DNA, and anti-centroid foundations as first-class product requirements."
FR-165,,,,,,"Restores doctrine, archetype, primitive, Voice/Visual DNA, and anti-centroid foundations as first-class product requirements."
FR-166,,,,,,"Restores doctrine, archetype, primitive, Voice/Visual DNA, and anti-centroid foundations as first-class product requirements."
FR-167,,,,,,"Restores doctrine, archetype, primitive, Voice/Visual DNA, and anti-centroid foundations as first-class product requirements."
FR-168,,,,,,"Restores doctrine, archetype, primitive, Voice/Visual DNA, and anti-centroid foundations as first-class product requirements."
FR-169,,,,,,"Restores doctrine, archetype, primitive, Voice/Visual DNA, and anti-centroid foundations as first-class product requirements."
FR-170,,,,,,"Restores doctrine, archetype, primitive, Voice/Visual DNA, and anti-centroid foundations as first-class product requirements."
FR-171,,,,,,"Restores doctrine, archetype, primitive, Voice/Visual DNA, and anti-centroid foundations as first-class product requirements."
FR-172,,,,,,"Restores doctrine, archetype, primitive, Voice/Visual DNA, and anti-centroid foundations as first-class product requirements."
FR-173,,,,,,"Restores doctrine, archetype, primitive, Voice/Visual DNA, and anti-centroid foundations as first-class product requirements."
FR-174,,,,,,"Restores doctrine, archetype, primitive, Voice/Visual DNA, and anti-centroid foundations as first-class product requirements."
FR-175,,,,,,"Restores doctrine, archetype, primitive, Voice/Visual DNA, and anti-centroid foundations as first-class product requirements."
FR-176,,,,,,"Restores doctrine, archetype, primitive, Voice/Visual DNA, and anti-centroid foundations as first-class product requirements."
FR-177,,,,,,"Restores doctrine, archetype, primitive, Voice/Visual DNA, and anti-centroid foundations as first-class product requirements."
FR-178,,,,,,"Restores doctrine, archetype, primitive, Voice/Visual DNA, and anti-centroid foundations as first-class product requirements."
FR-179,,,,,,"Restores doctrine, archetype, primitive, Voice/Visual DNA, and anti-centroid foundations as first-class product requirements."
FR-180,,,,,,"Restores doctrine, archetype, primitive, Voice/Visual DNA, and anti-centroid foundations as first-class product requirements."
